Username,Date,Favorites,Retweets,Hashtags,Text
TibidySports,2013-01-24 16:44:13+00:00,0,0,"['#cam', '#cameron', '#camcameron']",All about #cam #cameron . Tagged on http:// bit.ly/V3o1Eq | #camcameron
AffectedYouth,2013-01-24 16:44:10+00:00,0,1,"['#Cameron', '#EU']",What are the consequences for the UK of #Cameron 's #EU speech? http:// thisaffectedyouth.co.uk/2013/01/camero ns-eu-speech-a-risky-gamble/ …
jhaslauer,2013-01-24 16:43:10+00:00,0,0,"['#cameron', '#diaz']","klar, dass premier #cameron in davoz probleme mit den #diaz seiner präsentation hat: er ist schließlich verrückt nach mary ;-)"
Key__pro,2013-01-24 16:42:28+00:00,0,0,"['#cameron', '#smile', '#TGOD']",#cameron #smile tho>>> #TGOD http:// instagr.am/p/U36IYUKsUB/
jjguillet,2013-01-24 16:39:19+00:00,0,0,"['#Cameron', '#UE']",Le discours de David #Cameron #UE a au moins un intérêt : repenser la démocratie dans le système européen.
Jesus_erleben,2013-01-24 16:38:57+00:00,0,0,"['#Cameron', '#Entdeckungsreise']",Das 12-Wochen-Programm von Julia #Cameron führt Sie auf eine #Entdeckungsreise zur eigenen Kreativität. http:// amzn.to/GIYEjj
antaldaniel,2013-01-24 16:38:14+00:00,0,0,['#Cameron'],#Cameron wil referendum over nieuwe locatie Groot-Brittannië http://www. speld.nl/2013/01/24/cam eron-wil-referendum-over-nieuwe-locatie-groot-brittannie/ …
GrueneFrakNRW,2013-01-24 16:37:56+00:00,0,1,"['#cameron', '#eu']","Neues aus dem Blog. @engstfelder meint: ""Europa kann nicht anders, als zusammenzuarbeiten"" #cameron #eu http:// gruene.fr/2s"
arturosalerni,2013-01-24 16:36:44+00:00,0,0,['#Cameron'],UNIONE EUROPEA: “ #Cameron va preso sul serio” http://www. presseurop.eu/it/content/pre ss-review/3315481-cameron-va-preso-sul-serio …
valasekt,2013-01-24 16:35:51+00:00,1,3,"['#EU', '#Cameron']","@David_Cameron :Central Europe shares your frustration with #EU , unhappy abt your negotiating tactic: http:// tinyurl.com/cepicameron @CEPolicy #Cameron"
III_Frogs,2013-01-24 16:35:50+00:00,0,0,"['#CAMERON', '#EUROPE', '#Britain', '#UN', '#tpp', '#sgp', '#sovereignty', '#tpn']",But can he save his country? #CAMERON : I DON'T WANT A COUNTRY CALLED #EUROPE http:// hosted.ap.org/dynamic/storie s/E/EU_DAVOS_FORUM_EUROPE?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2013-01-24-06-10-19 … … #Britain #UN #tpp #sgp #sovereignty #tpn
III_Frogs,2013-01-24 16:34:37+00:00,0,0,"['#CAMERON', '#EUROPE', '#UK', '#globalism', '#tcot', '#gop', '#dems', '#lnyhbt']",But can he save his country? #CAMERON : I DON'T WANT A COUNTRY CALLED #EUROPE http:// hosted.ap.org/dynamic/storie s/E/EU_DAVOS_FORUM_EUROPE?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2013-01-24-06-10-19 … #UK #globalism #tcot #gop #dems #lnyhbt
TBIJ,2013-01-24 16:34:23+00:00,0,0,['#Cameron'],TBIJ's @MaeveMCC turned wannabe estate agent to explore #Cameron 's offer of spare property to small businesses http://www. thebureauinvestigates.com/2013/01/23/gov ernment-fails-to-deliver-on-promise-to-small-business/ …
VoxEurop,2013-01-24 16:32:45+00:00,0,0,"['#UK', '#Cameron', '#EU', '#EUspeech', '#Brexit']","So, is #UK PM #Cameron right to want to negociate a new deal with the #EU ? Have your say here: http:// is.gd/g3a5iR #EUspeech #Brexit"
VoxEuropIT,2013-01-24 16:31:21+00:00,0,1,"['#Cameron', '#Ue']",Che cosa pensate della richiesta del premier britannico #Cameron di negoziare un nuovo accordo con l' #Ue ? Sondaggio: http:// is.gd/c9aHmN
Kostian_V,2013-01-24 16:30:56+00:00,0,1,"['#UK', '#Cameron', '#EU', '#ref']",#UK - #Cameron Finds Little Support on Continent for Referendum on #EU - SPIEGEL ONLINE http://www. spiegel.de/international/ europe/cameron-finds-little-support-on-continent-for-referendum-on-eu-a-879441.html#ref=rss …
scarletmonahan,2013-01-24 16:30:27+00:00,0,0,"['#Cameron', '#British', '#politics', '#news', '#politics', '#satire', '#RT', '#Sadmanonatrain']",#Cameron the hairy hand of #British #politics pic.twitter.com/PEFnjgZs #news #politics #satire #RT #Sadmanonatrain
