Username,Date,Favorites,Retweets,Hashtags,Text
BeingMii,2016-06-25 23:50:12+00:00,0,0,['#Brexit'],lol the best one i've ever seen #Brexit pic.twitter.com/hcf3MITiGL
GeorgeMeridian,2016-06-25 23:50:12+00:00,0,0,"['#brexit', '#VoteRemain']",#brexit #VoteRemain https:// shop.spreadshirt.co.uk/votedin?noCach e=true … pic.twitter.com/TIY76em9dk
bcnenlluita,2016-06-25 23:50:12+00:00,0,0,['#brexit'],Quins democrates escolta els del remain perden el referendum.i no accepten els resultats. Aixo si que es dictatorial i mo el #brexit
PatGarret4,2016-06-25 23:50:11+00:00,9,16,['#Brexit'],"#Brexit Los ingleses trabajaran y se moveran por Europa, son aliados USA, la OTAN, hacen el trabajo sucio contra pic.twitter.com/yXFNMw8nb8"
GemCWL,2016-06-25 23:50:10+00:00,0,0,"['#Remain', '#Brexit']",If the #Remain camp can see in to the future well enough to know #Brexit will go wrong.. Could they also tell me the Lottery numbers please!
prozaque,2016-06-25 23:50:10+00:00,0,0,['#brexit'],"let's hope after #brexit they'll pass a first amendment. As long as their police investigates mean tweets, that's no free country."
CmreynarosReyna,2016-06-25 23:50:09+00:00,0,0,['#Brexit'],Nuestra condición de seres humanos nos debería de bastar para poder deambular por cualquier lugar de la Tierra #Brexit
MichaelFingland,2016-06-25 23:50:07+00:00,0,0,['#Brexit'],The knock-on effect of #Brexit on Europe then China and Japan is the big unknown and what we need to keep a close eye on.
teamliftworking,2016-06-25 23:50:07+00:00,1,0,"['#MakeAmericaGreatAgain', '#Brexit', '#TeamLift']",#MakeAmericaGreatAgain #Brexit #TeamLift pic.twitter.com/xm5n0JjbOQ
jesusmanuelh,2016-06-25 23:50:07+00:00,0,0,['#Brexit'],"Aumento de precios en los discos y permisos de trabajo, entre las posibles consecuencias del #Brexit http:// ow.ly/SB42301DhlM"
geordiesinc,2016-06-25 23:50:06+00:00,2,0,"['#fuckedoff', '#brexit', '#nufc']",Maybe England & Wales could vote themselves out?...Scotland and N Ireland might stay in. #fuckedoff #brexit #nufc https:// twitter.com/alanshearer/st atus/746797713207988224 …
pretenniless,2016-06-25 23:50:06+00:00,3,1,['#Brexit'],Just hitched a lift with a Belgian tour bus and when they found out we were English they booed us. So there's that. #Brexit
JoanOfPink,2016-06-25 23:50:05+00:00,0,0,['#brexit'],"If you wonder why ne1 would vote remain, remember, remainers are the ones who think terrorists rights come b4 urs, so happy 2B out #brexit"
callate_spud,2016-06-25 23:50:04+00:00,0,0,['#Brexit'],Hay alternativas a la xenofobia. No es una mera disyuntiva entre la austeridad y el nacionalismo más salvaje #Brexit https:// twitter.com/mundoobrero/st atus/746757258067968001 …
jdash2000,2016-06-25 23:50:04+00:00,0,0,['#Brexit'],#Brexit イギリスからロンドンだけ独立したらおもしろすぎでしょ。(不謹慎) ロンドン独立署名に15万人 EU離脱は市長も反対 - 共同通信 47NEWS http:// ow.ly/aoUL301Ds07
