Username,Date,Favorites,Retweets,Hashtags,Text
ciao1953,2017-03-30 23:01:42+00:00,0,0,['#Brexit'],"Beneath the oceans all land is joined @Number10gov @UKParliament Separate from WHAT?EXIT WHAT?Earth has no borders,thr man-made #Brexit"
MorsOntologica,2017-03-30 23:01:42+00:00,0,0,['#brexit'],think @JunckerEU was the one who came up with the Wendy Davis pink sneaker idea. #brexit
arthur_public,2017-03-30 23:01:40+00:00,4,1,"['#bbctw', '#ChooChoo', '#Brexit']","#bbctw I totally agree with #ChooChoo . The EU is a political creation, not economic. They'll want to punish the UK. #Brexit"
lluciz,2017-03-30 23:01:39+00:00,0,0,"['#Brexit', '#Poundtoeuro', '#Poundtoeuro']",Brexit risk keeps sterling under pressure #Brexit #Poundtoeuro #Poundtoeuro https:// goo.gl/fb/9LQ1XR
justhuman0099,2017-03-30 23:01:38+00:00,1,0,"['#brexit', '#Immigration', '#MovieReview', '#love']",Check out this @pluggedin movie review of Facing Darkness: http://www. pluggedin.com/movie-reviews/ facing-darkness-2017/ … #brexit #Immigration #MovieReview #love
lluciz,2017-03-30 23:01:36+00:00,0,0,"['#Brexit', '#PoundToEuro']","Yen gains as risky assets lose traction, pound and euro shaky #Brexit #PoundToEuro … https:// goo.gl/fb/Pz6Unp"
JoshNeidus,2017-03-30 23:01:33+00:00,0,0,['#Brexit'],Not a bad night when @ChrisMasonBBC calls you impressive live in air! Was a good chat about @TSingleMarket and #Brexit
CJGirlGeek,2017-03-30 23:01:33+00:00,0,0,['#brexit'],"@bbcthisweek I used to quite like Alistair Campbell, but he's talking absolute shite on This Week tonight #brexit"
ismiffy,2017-03-30 23:01:31+00:00,1,0,"['#thisweek', '#Brexit', '#BrexitBritain']",@campbellclaret Is completely deluded. #thisweek #Brexit #BrexitBritain
BasHodge,2017-03-30 23:01:30+00:00,0,0,['#Brexit'],"Delusional Alistair Campbell. So, out of touch. People are not changing their minds. We ALL knew we were leaving single market. #Brexit"
susanmc15104271,2017-03-30 23:01:25+00:00,0,0,['#brexit'],McCluskey/Corbyn giving themselves 15 months to help Tories deliver #brexit . It's what they want. Then they will abdicate. May too. @afneil
purpperil,2017-03-30 23:01:21+00:00,0,0,"['#ChooChoo', '#remoaner', '#bbctw', '#sweet', '#Brexit', '#article50']",#ChooChoo owning #remoaner @CambellClaret on #bbctw - #sweet ! #Brexit #article50 . @bbcthisweek
Vaneyssenteam,2017-03-30 23:01:18+00:00,0,0,"['#cleanpowerplan', '#brexit']",The latest South Florida Real Estate! http:// paper.li/Vaneyssenteam/ 1351033272?edition_id=c7279130-159c-11e7-be7c-0cc47a0d1609 … #cleanpowerplan #brexit
